Maintain,Replace,Suppress,sub,model
0.49368957,0.561435248,0.594061111,0,RF_maxdepthten
0.607631115,0.652109821,0.660283333,1,RF_maxdepthten
0.479045392,0.548464189,0.603688889,2,RF_maxdepthten
0.554798193,0.566086515,0.639311111,3,RF_maxdepthten
0.61598974,0.618272275,0.673194444,4,RF_maxdepthten
