Maintain,Replace,Suppress,sub,model
0.630954553,0.617898164,0.667066667,0,log_reg
0.700360991,0.749272716,0.778244444,1,log_reg
0.6245612,0.675606256,0.583086111,2,log_reg
0.545018823,0.488248991,0.556366667,3,log_reg
0.65357591,0.708511315,0.818661111,4,log_reg
