Maintain,Replace,Suppress,sub,model
0.634431785,0.64602353,0.740505556,0,XGBoost
0.72371207,0.755755454,0.777644444,1,XGBoost
0.712882344,0.72699354,0.688244444,2,XGBoost
0.72841656,0.71606055,0.807027778,3,XGBoost
0.738300966,0.767196565,0.853566667,4,XGBoost
